SAL_NAME21,tree_percentage,distance,n
Abbotsford,19.9,3.3986029414492114,2340
Aberfeldie,17.5,8.380248974995002,1530
Airport West,15.3,12.352178371572968,4403
Albanvale,5.8,18.72837998111644,2181
Albert Park,15.9,3.4459326925109734,2732
Albion,8.1,13.600145636599844,1737
Alphington,29.4,7.04939371383266,2095
Altona,6.5,14.131131044151546,6029
Altona Meadows,8.1,17.386134627748504,8354
Altona North,9.4,11.602049400461356,5323
Ardeer,10.6,14.89189480669977,1421
Armadale,26.3,6.89372026968877,3093
Ascot Vale,16.3,6.000089102424027,5263
Ashburton,28.7,11.865652290975136,3284
Ashwood,28.2,13.566989157791408,3002
Aspendale,24.5,26.110921214824973,2867
Aspendale Gardens,22.6,26.882944936675937,2542
Avondale Heights,22.7,10.606762279719193,4922
Balaclava,21,6.834803124952752,1509
Balwyn,30.3,10.601527601122166,5632
Balwyn North,30,10.958976025964745,8433
Bayswater,67.7,26.77077243589599,13
Bayswater North,26.6,28.252995633929693,4872
Beaumaris,29.1,19.80648204921743,5600
Bellfield (Banyule - Vic.),14.7,9.490565656638212,778
Bentleigh,21.4,13.73706618376697,6593
Bentleigh East,17.2,15.067365693324257,12104
Black Rock,25.5,18.16583824724653,2818
Blackburn,39.7,16.67523792435669,6426
Blackburn North,28.4,16.866415376463642,3215
Blackburn South,29.5,16.388858904136665,4366
Bonbeach,25.7,31.17960816635296,2617
Box Hill,24.1,14.373906241128708,3841
Box Hill North,26.8,14.687417445437177,5467
Box Hill South,28.9,14.327818070265637,3764
Braeside,27.1,25.003899013261403,1551
Braybrook,14.6,10.011113006712717,3561
Briar Hill,39.3,18.35564600758066,1542
Brighton,27.6,10.854361505192408,9200
Brighton East,29.6,12.388657864549224,6690
Brooklyn,5.5,10.710267038361811,1415
Brunswick,17.1,5.311767503702304,9516
Brunswick East,19.8,5.173059442174297,3675
Brunswick West,21.2,5.9290704986591,4779
Bulleen,27.2,12.030143635049123,5074
Bundoora,26.5,15.388905590301562,5619
Burnley,26.7,5.069434664397341,348
Burwood,29.9,13.623515356106477,6251
Burwood East,23.8,17.058644678156245,4253
Cairnlea,6.6,16.599332107411787,3160
Calder Park,0.7,23.477508926585237,27
Camberwell,33.3,10.097115617573383,8601
Canterbury,38.7,9.954056952687445,3208
Carlton,19.8,1.5824103720286984,2367
Carlton North,17.8,3.0978128632582984,2672
Carnegie,23.1,11.97998387836648,5953
Carrum,26.1,32.544759905510595,2093
Caulfield,22,9.545664709481038,1990
Caulfield East,12.3,10.178193391398723,481
Caulfield North,25.8,8.230218153786057,4950
Caulfield South,25.9,10.458814344757707,4740
Chadstone,24,14.229556198514885,3960
Chelsea,23.4,29.6153026739835,3813
Chelsea Heights,20.8,29.313291149302902,2097
Cheltenham,20.2,18.66252896209552,11340
Clarinda,12.1,19.046374768116998,2814
Clayton,15.5,18.69688380724813,7379
Clayton South,11.8,20.199009400476577,5631
Clifton Hill,23.3,4.017941505761256,2424
Coburg,17.1,7.691881765843333,10501
Coburg North,19.7,9.685620306546808,4712
Collingwood,13.7,2.5806532282455454,2316
Cremorne,14,3.107330649395992,1135
Croydon,35.4,28.34865642887472,13768
Croydon Hills,32.5,27.097737451865427,1889
Croydon North,44.3,28.644242901760773,3567
Croydon South,28.9,27.707944868246376,2406
Deepdene,32.4,9.062734079045383,1036
Deer Park,7.5,17.588233918044825,6951
Delahey,4.9,19.434941288221818,3178
Derrimut,2.2,16.543858844948055,3377
Dingley Village,26.5,22.916128845638724,4524
Docklands,4.6,2.0496767587194604,445
Doncaster,25.4,14.541632892395324,9074
Doncaster East,26.2,18.11469572086369,12403
Donvale,45.9,20.284487574919197,5260
Eaglemont,42.9,10.480557284637591,1574
East Melbourne,29.5,1.7153508817118779,995
Edithvale,23.5,28.155010755252196,2673
Elsternwick,25,8.842945339408072,3356
Eltham North,37.3,20.361708054177193,867
Elwood,28.8,7.65006234342932,3387
Essendon,16.6,8.497585670275145,7793
Essendon Fields,0.9,11.151868139939902,84
Essendon North,13.5,10.016980069173115,1064
Essendon West,23.4,9.573040792132803,647
Fairfield,28.2,5.691608093161952,2558
Fawkner,15.4,12.149704131738135,5848
Fitzroy,19.3,2.0433985332820486,3005
Fitzroy North,22.2,3.840765721338166,4595
Flemington,12.7,4.9128862055710725,1964
Footscray,13.1,6.079502342566391,5186
Forest Hill,28.8,18.527186225121827,4724
Gardenvale,22.3,10.158702898976374,369
Glen Huntly,24.5,11.077944374708727,1365
Glen Iris,31.4,10.094711549424337,9483
Glen Waverley,25.7,19.538432689196867,17129
Glenroy,13.4,12.789537085850897,9972
Gowanbrae,8.4,13.545149478398502,1047
Greensborough,33.4,18.034022166161996,7167
Hadfield,20.6,11.591965426009954,2613
Hampton,38.6,14.30553129330143,5281
Hampton East,36.9,15.051814063318986,1870
Hawthorn,30.8,6.178840687378742,6164
Hawthorn East,29.8,7.87612260845612,4850
Heatherton,13.5,19.466451516344762,1349
Heathmont,42,24.801988441490973,4594
Heidelberg,25.2,11.635698341271748,2646
Heidelberg Heights,15.7,11.195324675897503,3010
Heidelberg West,15.3,11.024069222549443,2686
Highett,24.7,16.58139082695869,5113
Hillside (Melton - Vic.),8.3,23.857960618046636,466
Hughesdale,21.5,14.053673031513835,3027
Huntingdale,13.1,16.469948265090668,955
Ivanhoe,29.8,8.761329343473856,5591
Ivanhoe East,37.6,9.812793644851359,1485
Kealba,6.9,14.549230104539513,1102
Keilor,15.2,16.712866822881235,2914
Keilor Downs,9.6,17.392693020354308,4121
Keilor East,17.1,12.46103445016067,6891
Keilor Lodge,11.5,19.293290649017553,680
Keilor North,7.9,21.00467666552697,51
Keilor Park,12.5,14.392161961964394,1546
Kensington,20.4,3.868159173312059,3968
Kew,36.8,6.283159550551694,8458
Kew East,34.2,8.282139672528222,2791
Kilsyth,38.2,31.28647106546592,915
Kilsyth South,38.7,30.687463298427158,1342
Kings Park,5.6,19.061689899017214,3055
Kingsbury,18.6,12.545517211925864,1643
Kingsville,28.6,7.392072444850976,1420
Kooyong,31.2,7.077633764526743,285
Laverton,9.4,17.96985022090245,2265
Lower Plenty,39.9,15.871296263961115,1781
Macleod,35.1,14.010013675449711,4398
Maidstone,17.8,8.614446847839087,3551
Malvern,27,7.898837868443618,3530
Malvern East,26.4,11.363537527379426,8089
Maribyrnong,17.1,8.078220974785019,3988
McKinnon,24.2,12.593403207429924,2284
Melbourne,19.5,1.4018859904700893,2282
Mentone,30.2,20.799993879307184,6119
Middle Park,17.8,4.104597092088487,1549
Mitcham,33.2,20.77586424899768,7899
Mont Albert,34,12.744412659845597,2213
Mont Albert North,32.2,13.055595901940173,2376
Montmorency,41,17.767623392800242,4426
Moonee Ponds,15.1,6.521572260805359,5633
Moorabbin,10.8,16.398840558956074,3878
Moorabbin Airport,3.5,21.743934611280604,169
Mordialloc,29.3,23.64706017000559,4318
Mount Waverley,27.4,16.206924259620017,15947
Mulgrave,16.9,22.43889001990161,8634
Murrumbeena,26.4,13.137333684384815,3433
Newport,26.8,8.018268753676953,5656
Niddrie,23.5,10.767531502049417,2625
North Melbourne,19.1,2.3703492289514836,3115
Northcote,23.2,5.676600767260883,9578
Notting Hill,15.9,18.659720672752027,1054
Nunawading,25.1,18.79544129109204,5711
Oak Park,14.1,11.469160355422218,2884
