SAL_NAME21,street_percentage,rural_percentage,reserve_percentage,residential_percentage,weighted_street_pc,weighted_reserve_pc,weighted_rural_pc,weighted_resi_pc,total_coverage_pc,other_percentage,weighted_other_pc,distance
Abbotsford,26.5959216614694,0,32.61095621656413,17.93516785948669,0.06463430952597907,0.029767918820805876,0,0.03628031096961058,0.1992967761234038,14.806416979656234,0.06861423680700826,3.3986029414492114
Aberfeldie,9.74763618068745,0,16.296027768641874,21.188500893264102,0.01805683803772694,0.024929577293135295,0,0.11852817022248653,0.17505901856992526,13.229735763244276,0.013544433016576487,8.380248974995002
Airport West,9.273239005702669,0,31.50533881592179,21.62492880791029,0.01968613316282054,0.020781651399485214,0,0.1018206158606528,0.1530181152340631,4.27649679503178,0.010729714811104577,12.352178371572968
Albanvale,5.7306798389429,0,19.164716852786455,3.859111554047258,0.009984428028191588,0.019027934187286388,0,0.027435656741843815,0.0584249408616815,12.70993840538629,0.0019769219043597047,18.72837998111644
Albert Park,23.42650022927262,0,11.239111742352877,20.167516439926107,0.051890390618537965,0.06429309200533602,0,0.03154434544198255,0.15866645635825657,21.86082267911635,0.010938628292400051,3.4459326925109734
Albion,10.14349886340185,0,6.694379676555427,9.979717539748886,0.017658202147869603,0.019207260928466256,0,0.03351117235168194,0.08118522735109965,5.319004339267107,0.010808591923081853,13.600145636599844
Alphington,30.74788087314127,0,58.27230990580473,25.15837166048971,0.04578712280284825,0.06758474824791368,0,0.08829369238563012,0.29411018805743416,24.06433927161511,0.09244462462104211,7.04939371383266
Altona,11.207216320655453,0,8.63018295845043,12.158380265619714,0.012082784415584042,0.007684652214823658,0,0.01824361707776021,0.06496144701688594,4.126573008045583,0.026950393308718037,14.131131044151546
Altona Meadows,10.637775820720337,0,4.163704420640631,11.787163003782847,0.015380283486976192,0.017883750871450284,0,0.04450561951635671,0.08056418805186628,5.782692078898098,0.0027945341770831003,17.386134627748504
Altona North,13.189051882754194,0,15.303862558357284,19.361135261111883,0.017111067256812957,0.017551560833867615,0,0.03576856205781131,0.09360966971903155,4.060474254578385,0.023178479570539662,11.602049400461356
Ardeer,11.085728129220081,0,20.87808652286591,8.634396608465137,0.02744081417444864,0.0338448640016054,0,0.03413240543290281,0.10583736905564443,5.341779284984042,0.010419285446687578,14.89189480669977
Armadale,35.099668609553405,0,23.671629618518704,26.16196318782727,0.08040390374141546,0.005792108715652008,0,0.16035302473703705,0.26288135868255824,12.23083024616518,0.016332321488453733,6.89372026968877
Ascot Vale,17.44032673421333,0,10.284954593042054,17.93377136390844,0.0326893233003107,0.014249756742178722,0,0.1071376008142746,0.16263993410711258,11.177981913626256,0.00856325325034856,6.000089102424027
Ashburton,29.71218698850866,0,27.935554342074344,28.125594070650784,0.060604631289509124,0.02564948244737139,0,0.17891995154547907,0.28667989715557546,31.596166782942763,0.021505831873215888,11.865652290975136
Ashwood,20.809986125436062,0,36.82553790777549,29.193856221433695,0.040040060051292084,0.03493592109206387,0,0.17167781168090038,0.2817794544043613,28.176738824834725,0.03512566158010495,13.566989157791408
Aspendale,17.58699914694111,0,26.130268379918075,27.292447990694725,0.029499675952000672,0.008607884346804706,0,0.13181545490992688,0.2446703266444515,23.628191182473643,0.07474731143571924,26.110921214824973
Aspendale Gardens,20.413508893008405,1.683674423853473,23.303860150612902,32.61498584366425,0.033917950290898134,0.011552725901387768,0.0015866396006311131,0.13536456536828312,0.22575049844177217,15.75605557463324,0.04332861728057201,26.882944936675937
Avondale Heights,15.799520412624165,0,30.673533869816115,22.044456195059112,0.03067784636416419,0.0763385146201102,0,0.11584881072973957,0.22702448252224058,13.232409610900413,0.0041593108082266066,10.606762279719193
Balaclava,24.444204660043813,0,36.83372439409019,19.913106045690824,0.05871259433628542,0.003570079651810604,0,0.12188505322730381,0.21043467919579747,19.029507350960802,0.026266951980397638,6.834803124952752
Balwyn,37.27255925025016,0,49.63370503955418,28.10014131131587,0.07387896646201447,0.02117604149235981,0,0.20400878775757247,0.3034156381312324,13.141074782894544,0.004351842419285636,10.601527601122166
